"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C2,C3","3","100nF","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
"C4","1","4.7uF","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
"C5,C6","2","10uF","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
"D1","1","RED_LED","","","","LED_THT:LED_D5.0mm","~"
"D2","1","GREEN_LED","","","","LED_THT:LED_D5.0mm","~"
"D3","1","POWER_LED","","","","LED_SMD:LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder","~"
"J1","1","Conn_01x04_Pin","","","","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","~"
"J2","1","OLED_Display","","","","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","~"
"J3","1","USB_C_Receptacle_PowerOnly_6P","","","","Connector_USB:USB_C_Receptacle_GCT_USB4125-xx-x-0190_6P_TopMnt_Horizontal","https://www.usb.org/sites/default/files/documents/usb_type-c.zip"
"Q1","1","BTA16-600BW","","","","Package_TO_SOT_THT:TO-220-3_Vertical","https://www.st.com/resource/en/datasheet/bta16.pdf"
"R1,R2,R3","3","1100","","","","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~"
"R4","1","1800","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"R5,R6,R7,R12","4","110","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"R8,R9","2","10k","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"R10,R11","2","5.1k","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"SW1","1","Valid","","","","Button_Switch_THT:SW_PUSH_6mm_H5mm","~"
"SW2","1","Up","","","","Button_Switch_THT:SW_PUSH_6mm_H5mm","~"
"SW3","1","Down","","","","Button_Switch_THT:SW_PUSH_6mm_H5mm","~"
"SW4","1","Left","","","","Button_Switch_THT:SW_PUSH_6mm_H5mm","~"
"SW5","1","Right","","","","Button_Switch_THT:SW_PUSH_6mm_H5mm","~"
"SW6","1","return","","","","Button_Switch_THT:SW_PUSH_6mm_H5mm","~"
"SW7","1","NRST","","","","Button_Switch_THT:SW_PUSH_6mm_H5mm","~"
"SW8","1","BOOT0","","","","Button_Switch_THT:SW_PUSH_6mm_H5mm","~"
"TH1","1","Thermistor_NTC","","","","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical","~"
"U1","1","MOC3063M","","","","Package_DIP:DIP-6_W7.62mm_LongPads","https://www.onsemi.com/pub/Collateral/MOC3163M-D.pdf"
"U2","1","STM32C011F6Px","","","","Package_SO:TSSOP-20_4.4x6.5mm_P0.65mm","https://www.st.com/resource/en/datasheet/stm32c011f6.pdf"
"U4","1","LD1117S33TR_SOT223","","","","Package_TO_SOT_SMD:SOT-223-3_TabPin2","http://www.st.com/st-web-ui/static/active/en/resource/technical/document/datasheet/CD00000544.pdf"
"Vdr1","1","S14K230","","","","Varistor:RV_Disc_D15.5mm_W7.5mm_P7.5mm","~"
